carwidth,horsepower,highwaympg,enginesize,carwidth,citympg,car_width_length,price
65.4,116,30,110,65.4,23,15.42076522096099,9279.0
69.6,176,19,258,69.6,15,16.407315441594946,22563.0
65.5,100,32,109,65.5,26,15.401298646542765,9995.0
65.4,111,29,108,65.4,24,15.407790237409127,11259.0
66.5,156,24,161,66.5,19,15.94678651014053,15750.0
68.9,114,28,141,68.9,23,16.053037095827072,16845.0
70.9,182,20,209,70.9,15,16.36765102267274,22563.0
66.9,182,22,209,66.9,16,15.9968746947646,22563.0
64.4,68,41,92,64.4,37,14.88959368149447,5389.0
68.9,114,25,141,68.9,19,16.053037095827072,22625.0
68.4,95,24,120,68.4,19,15.971850237214221,15580.0
66.5,160,26,121,66.5,19,15.90911688309568,18620.0
63.8,68,41,90,63.8,37,14.869431730903505,5572.0
64.0,112,29,98,64.0,26,15.254507530562892,9538.0
64.4,70,37,98,64.4,30,15.188811671753653,6938.0
71.4,140,20,131,71.4,17,16.2511538051918,23875.0
65.6,116,30,146,65.6,24,15.54991961394013,8449.0
64.0,76,34,92,64.0,30,14.628738838327793,7129.0
63.6,62,32,92,63.6,27,15.274161188098022,8778.0
66.5,73,33,110,66.5,30,15.559562975867927,10698.0
68.9,134,23,173,68.9,18,16.053037095827072,21485.0
65.2,86,33,110,65.2,27,15.254507530562892,9095.0
65.6,116,30,146,65.6,24,15.54991961394013,11549.0
66.3,145,24,156,66.3,19,15.47578754054216,12964.0
65.0,207,25,194,65.0,17,15.293789589241772,22563.0
67.9,160,25,181,67.9,19,15.446682491719702,17199.0
66.9,110,24,136,66.9,19,15.719414747375298,13295.0
63.8,69,37,97,63.8,31,15.297058540778355,7349.0
66.9,88,31,109,66.9,25,15.811388300841896,12290.0
67.2,114,28,141,67.2,24,16.0,16515.0
63.8,68,38,90,63.8,31,14.869431730903505,6229.0
70.3,123,25,183,70.3,22,16.161683080669537,28248.0
66.9,121,25,164,66.9,20,15.9968746947646,24565.0
68.4,95,25,152,68.4,25,16.349311912126456,13860.0
65.6,116,30,146,65.6,24,15.54991961394013,9639.0
65.4,82,25,108,65.4,24,15.407790237409127,9233.0
64.2,68,38,91,64.2,31,15.198684153570664,7395.0
63.8,69,37,97,63.8,31,15.136049682793725,6649.0
64.4,56,47,110,64.4,38,15.188811671753653,7788.0
63.6,62,32,92,63.6,27,15.274161188098022,7898.0
72.3,288,28,203,72.3,17,15.748015748023622,22563.0
63.6,62,38,92,63.6,31,14.909728367747013,6488.0
64.4,70,34,98,64.4,28,15.188811671753653,9258.0
67.7,161,24,171,67.7,19,15.84929020492716,15998.0
66.5,152,25,181,66.5,19,15.846135175493108,13499.0
64.2,68,31,91,64.2,30,14.943225890014512,5195.0
63.8,102,30,98,63.8,24,14.869431730903505,8558.0
63.6,70,43,90,63.6,38,14.815532390029054,8916.5
66.0,100,31,110,66.0,25,15.332971010211947,10345.0
65.5,52,46,97,65.5,37,15.401298646542765,7775.0
66.5,84,32,122,66.5,26,15.630099167951558,10245.0
65.2,97,34,120,65.2,27,15.446682491719704,9549.0
